eta3,n,i,j,z_rest_int,trial_id,kappa_true,kappa_hat,a_true,b_true,cos_a_hat,sin_a_hat,cos_b_hat,sin_b_hat,amp_a,amp_b
0.2,4,2,3,2,2,1,1.001751223,-0.05122506,-1.05122506,0.995117188,-0.057617188,0.485351563,-0.865234375,0.996783807,0.992066864
0.2,4,2,3,3,2,1,1.024360754,0.05122506,-0.94877494,1,0.049804688,0.556640625,-0.8203125,1.001239485,0.991343222
0.2,4,0,1,0,3,1.175663354,1.136366091,1.087831677,-0.087831677,0.487304688,0.887695313,0.995117188,-0.067382813,1.012654347,0.99739594
0.2,4,0,1,1,3,1.029236884,1.029641682,1.014618442,-0.014618442,0.526367188,0.866210938,1,-0.004882813,1.01359943,1.000011921
0.2,4,0,1,2,3,0.970763116,0.900549503,-0.014618442,-0.985381558,0.999023438,-0.0625,0.571289063,-0.821289063,1.000976563,1.00044336
0.2,4,0,1,3,3,0.824336646,0.824664983,-0.087831677,-0.912168323,0.99609375,-0.084960938,0.615234375,-0.791015625,0.999710518,1.002107307
0.2,4,2,3,0,3,1,1.023262886,1.05122506,0.05122506,0.483398438,0.853515625,1,0.032226563,0.980899063,1.000519141
0.2,4,2,3,1,3,1,0.993658861,0.94877494,-0.05122506,0.567382813,0.821289063,0.997070313,-0.02734375,0.998217902,0.997445181
0.2,4,2,3,2,3,1,0.949466389,-0.05122506,-1.05122506,1,-0.0859375,0.514648438,-0.8671875,1.003685834,1.00840328
0.2,4,2,3,3,3,1,1.015899815,0.05122506,-0.94877494,1,0.063476563,0.5703125,-0.801757813,1.002012612,0.983906468
0.2,4,0,1,0,4,1.175663354,1.152205832,1.087831677,-0.087831677,0.48828125,0.877929688,0.99609375,-0.088867188,1.004579074,1.000050067
0.2,4,0,1,1,4,1.029236884,1.025221404,1.014618442,-0.014618442,0.516601563,0.866210938,1,0.0078125,1.008562622,1.000030517
0.2,4,0,1,2,4,0.970763116,1.000136927,-0.014618442,-0.985381558,1,-0.020507813,0.512695313,-0.8359375,1.000210263,0.980636522
0.2,4,0,1,3,4,0.824336646,0.794994959,-0.087831677,-0.912168323,0.994140625,-0.12890625,0.596679688,-0.790039063,1.002463168,0.99004463
0.2,4,2,3,0,4,1,0.994531583,1.05122506,0.05122506,0.493164063,0.866210938,0.997070313,0.05859375,0.996760844,0.998790486
0.2,4,2,3,1,4,1,0.955588017,0.94877494,-0.05122506,0.590820313,0.810546875,0.999023438,-0.014648438,1.00302287,0.999130825
0.2,4,2,3,2,4,1,0.985271004,-0.05122506,-1.05122506,0.999023438,-0.067382813,0.49609375,-0.870117188,1.0012933,1.001605176
0.2,4,2,3,3,4,1,0.983516574,0.05122506,-0.94877494,0.997070313,0.05078125,0.588867188,-0.793945313,0.998362631,0.988490629
0.2,4,0,1,0,5,1.175663354,1.211432142,1.087831677,-0.087831677,0.4375,0.8828125,0.995117188,-0.100585938,0.985273647,1.000187856
0.2,4,0,1,1,5,1.029236884,1.0306482,1.014618442,-0.014618442,0.525390625,0.849609375,0.999023438,-0.013671875,0.998935132,0.999116985
0.2,4,0,1,2,5,0.970763116,1.005853967,-0.014618442,-0.985381558,1,0.016601563,0.552734375,-0.840820313,1.000137796,1.006227652
0.2,4,0,1,3,5,0.824336646,0.901415363,-0.087831677,-0.912168323,0.99609375,-0.041015625,0.59375,-0.817382813,0.996937832,1.010274084
0.2,4,2,3,0,5,1,0.96349976,1.05122506,0.05122506,0.497070313,0.844726563,0.995117188,0.075195313,0.980123391,0.997954183
0.2,4,2,3,1,5,1,0.98552318,0.94877494,-0.05122506,0.611328125,0.807617188,0.99609375,-0.0625,1.012900586,0.998052608
0.2,4,2,3,2,5,1,0.983790242,-0.05122506,-1.05122506,0.999023438,-0.061523438,0.506835938,-0.874023438,1.000916061,1.010346296
0.2,4,2,3,3,5,1,0.983768982,0.05122506,-0.94877494,0.999023438,0.0390625,0.579101563,-0.80078125,0.999786831,0.988235412
0.2,4,0,1,0,6,1.175663354,1.162363822,1.087831677,-0.087831677,0.456054688,0.874023438,0.995117188,-0.072265625,0.985851331,0.99773771
