run_id,eta3,n,i,j,trial_id,num_contexts,kappa_ctx_R_trial,kappa_ctx_circ_var_trial,kappa_ctx_circ_mean_trial,amp_min_mean_ctx_trial,amp_min_q10_ctx_trial,shots_per_setting
20260111_161147,0.2,5,2,3,19,8,0.999770308,0.000229692,0.998862673,0.997058933,0.993828083,2048
20260111_161135,0.2,6,0,1,0,16,0.990708373,0.009291627,0.999352758,0.993350307,0.976876986,2048
20260111_161135,0.2,6,0,1,1,16,0.992361771,0.007638229,0.999026502,0.991905839,0.979270954,2048
20260111_161135,0.2,6,0,1,2,16,0.991855006,0.008144994,0.992692469,0.993641244,0.980264316,2048
20260111_161135,0.2,6,0,1,3,16,0.991097306,0.008902694,0.996434556,0.99553997,0.987470527,2048
20260111_161135,0.2,6,0,1,4,16,0.991912512,0.008087488,1.002418178,0.993978229,0.98176309,2048
20260111_161135,0.2,6,0,1,5,16,0.990691745,0.009308255,1.012787261,0.994161916,0.981794332,2048
20260111_161135,0.2,6,0,1,6,16,0.991814162,0.008185838,1.006252637,0.992688069,0.978465292,2048
20260111_161135,0.2,6,0,1,7,16,0.993696302,0.006303698,1.004543802,0.995405616,0.984765163,2048
20260111_161135,0.2,6,0,1,8,16,0.99157419,0.00842581,0.990703555,0.996436535,0.984350632,2048
20260111_161135,0.2,6,0,1,9,16,0.991752411,0.008247589,0.997299371,0.99429571,0.982538383,2048
20260111_161135,0.2,6,0,1,10,16,0.991995988,0.008004012,0.998319093,0.994381662,0.982783189,2048
20260111_161135,0.2,6,0,1,11,16,0.99222462,0.00777538,1.003139958,0.989710636,0.980649089,2048
20260111_161135,0.2,6,0,1,12,16,0.992783023,0.007216977,0.997523513,0.994520579,0.980606257,2048
20260111_161135,0.2,6,0,1,13,16,0.989841194,0.010158806,0.998674301,0.991382517,0.97580107,2048
20260111_161135,0.2,6,0,1,14,16,0.991569811,0.008430189,0.991169648,0.993100856,0.980067592,2048
20260111_161135,0.2,6,0,1,15,16,0.991476612,0.008523388,0.995968661,0.99291505,0.981029566,2048
20260111_161135,0.2,6,0,1,16,16,0.992311324,0.007688676,1.003975466,0.995019767,0.986530365,2048
20260111_161135,0.2,6,0,1,17,16,0.990469802,0.009530198,0.993890245,0.99660007,0.989227415,2048
20260111_161135,0.2,6,0,1,18,16,0.991507882,0.008492118,0.994546896,0.991812043,0.975073132,2048
20260111_161135,0.2,6,0,1,19,16,0.992856991,0.007143009,1.001871346,0.995845599,0.98750004,2048
20260111_161135,0.2,6,2,3,0,16,0.999800859,0.000199141,0.994721407,0.995882296,0.991488713,2048
20260111_161135,0.2,6,2,3,1,16,0.999600436,0.000399564,0.990182326,0.995768004,0.987506778,2048
20260111_161135,0.2,6,2,3,2,16,0.999659036,0.000340964,0.987230987,0.996517426,0.99037217,2048
20260111_161135,0.2,6,2,3,3,16,0.999454682,0.000545318,1.000778675,0.990897526,0.981182804,2048
20260111_161135,0.2,6,2,3,4,16,0.999775566,0.000224434,0.999807236,0.993664026,0.982431982,2048
20260111_161135,0.2,6,2,3,5,16,0.99977976,0.00022024,0.99408728,0.99885568,0.993866421,2048
20260111_161135,0.2,6,2,3,6,16,0.99974344,0.00025656,0.992806941,0.992128161,0.981626149,2048
20260111_161135,0.2,6,2,3,7,16,0.999729321,0.000270679,0.996512383,0.993231617,0.980460229,2048
20260111_161135,0.2,6,2,3,8,16,0.999686617,0.000313383,0.991432222,0.994885675,0.978439697,2048
20260111_161135,0.2,6,2,3,9,16,0.999699158,0.000300842,1.008666106,0.992287498,0.976884409,2048
20260111_161135,0.2,6,2,3,10,16,0.999430738,0.000569262,0.990732626,0.996029278,0.988881242,2048
20260111_161135,0.2,6,2,3,11,16,0.999739528,0.000260472,0.989013226,0.994581995,0.977078107,2048
20260111_161135,0.2,6,2,3,12,16,0.999851957,0.000148043,1.012855571,0.997483298,0.991834627,2048
20260111_161135,0.2,6,2,3,13,16,0.999675965,0.000324035,1.00485877,0.99495571,0.979321651,2048
